248. 	50 	Half-Life: Opposing Force 	3,559 	171 	94.58% 	95.42%
249. 	335670 	LISA 	5,139 	256 	94.56% 	95.25%
250. 	639790 	Deep Space Waifu 	420 	13 	94.55% 	97.00%
251. 	2310 	Quake 	1,730 	77 	94.54% 	95.74%
252. 	248610 	Door Kickers 	3,968 	195 	94.53% 	95.32%
253. 	212480 	Sonic & All-Stars Racing Transformed 	8,975 	467 	94.53% 	95.05%
254. 	4500 	S.T.A.L.K.E.R.: Shadow of Chernobyl 	6,648 	341 	94.51% 	95.12%
255. 	4580 	Warhammer 40,000: Dawn of War - Dark Crusade 	2,088 	96 	94.51% 	95.60%
256. 	32460 	Monkey Island 2: Special Edition 	904 	36 	94.50% 	96.17%
257. 	481510 	Night in the Woods 	2,841 	136 	94.49% 	95.43%
258. 	259680 	Tales of Maj'Eyal 	2,074 	96 	94.48% 	95.58%
259. 	6910 	Deus Ex: Game of the Year Edition 	4,691 	236 	94.48% 	95.21%
260. 	394970 	DEADBOLT 	1,455 	64 	94.47% 	95.79%
261. 	406150 	Refunct 	6,112 	315 	94.46% 	95.10%
262. 	40700 	Machinarium 	3,283 	161 	94.45% 	95.33%
263. 	472870 	Higurashi When They Cry Hou - Ch.3 Tatarigoroshi 	85 	0 	94.42% 	100%
264. 	501300 	What Remains of Edith Finch 	1,996 	93 	94.42% 	95.55%
265. 	380 	Half-Life 2: Episode One 	5,215 	268 	94.42% 	95.11%
266. 	220440 	DmC Devil May Cry 	9,932 	531 	94.42% 	94.92%
267. 	405820 	Turok: Dinosaur Hunter 	1,222 	53 	94.40% 	95.84%
268. 	298030 	Total Annihilation 	947 	39 	94.40% 	96.04%
269. 	247020 	Cook, Serve, Delicious! 	3,701 	186 	94.39% 	95.21%
270. 	207350 	Ys Origin 	1,509 	68 	94.39% 	95.69%
271. 	377670 	G-senjou no Maou - The Devil on G-String 	198 	4 	94.39% 	98.02%
272. 	32360 	The Secret of Monkey Island: Special Edition 	1,640 	75 	94.38% 	95.63%
273. 	396650 	ACE Academy 	556 	20 	94.38% 	96.53%
274. 	422970 	Devil Daggers 	3,278 	163 	94.38% 	95.26%
275. 	296490 	GemCraft - Chasing Shadows 	1,618 	74 	94.37% 	95.63%
276. 	2200 	Quake III Arena 	879 	36 	94.36% 	96.07%
